cation_SMILES,anion_SMILES,salt_SMILES,cation_name,anion_name,salt_name
CCCCN1C=C[N+](=C1C)C,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,"CCCC[NH+]1C=CN(C1C)C,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F","1-butyl-2,3-dimethyl-1H-imidazoliumÂ ",trifluorotris(perfluoroethyl)phosphate(V),"1-butyl-2,3-dimethyl-1H-imidazoliumÂ  trifluorotris(perfluoroethyl)phosphate(V)"
CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-],"CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-]",1-ethyl-3-methylimidazolium,trifluoromethanesulfonate,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-],"CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-]",1-butyl-3-methylimidazoliumÂ ,trifluoromethanesulfonate,1-butyl-3-methylimidazoliumÂ  trifluoromethanesulfonate
CCCCN1C=C[N+](=C1)C,C(=O)(C(F)(F)F)[O-],"CCCCN1C=C[N+](=C1)C,C(=O)(C(F)(F)F)[O-]",1-butyl-3-methylimidazoliumÂ ,trifluoroacetate,1-butyl-3-methylimidazoliumÂ  trifluoroacetate
CCN1C=C[N+](=C1)C,C(=C(C#N)C#N)=[N-],"CCN1C=C[N+](=C1)C,C(=C(C#N)C#N)=[N-]",1-ethyl-3-methylimidazolium,tricyanomethanide,1-ethyl-3-methylimidazolium tricyanomethanide
CCCCN1C=C[N+](=C1)C,C(=C(C#N)C#N)=[N-],"CCCCN1C=C[N+](=C1)C,C(=C(C#N)C#N)=[N-]",1-butyl-3-methylimidazoliumÂ ,tricyanomethane,1-butyl-3-methylimidazoliumÂ  tricyanomethane
CCN1C=C[N+](=C1)C,C(#N)[S-],"CCN1C=C[N+](=C1)C,C(#N)[S-]",1-ethyl-3-methylimidazolium,thiocyanate,1-ethyl-3-methylimidazolium thiocyanate
CCCCN1C=C[N+](=C1)C,C(#N)[S-],"CCCCN1C=C[N+](=C1)C,C(#N)[S-]",1-butyl-3-methylimidazoliumÂ ,thiocyanate,1-butyl-3-methylimidazoliumÂ  thiocyanate
CCCN1C=C[N+](=C1C)C,[B-](F)(F)(F)F,"CCCN1C=C[N+](=C1C)C,[B-](F)(F)(F)F","1,2-dimethyl-3-propylimidazoliumÂ ",tetrafluoroborate,"1,2-dimethyl-3-propylimidazoliumÂ  tetrafluoroborate"
CCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,"CCN1C=C[N+](=C1)C,[B-](F)(F)(F)F",1-ethyl-3-methylimidazolium,tetrafluoroborate,1-ethyl-3-methylimidazolium tetrafluoroborate
CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,"CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F",1-butyl-3-methylimidazoliumÂ ,tetrafluoroborate,1-butyl-3-methylimidazoliumÂ  tetrafluoroborate
CCCCN1C=C[N+](=C1C)C,[B-](F)(F)(F)F,"CCCCN1C=C[N+](=C1C)C,[B-](F)(F)(F)F","1-butyl-2,3-dimethylimidazoliumÂ ",tetrafluoroborate,"1-butyl-2,3-dimethylimidazoliumÂ  tetrafluoroborate"
CCCCN1C=C[N+](=C1)C,OCl(=O)(=O)=O,"CCCCN1C=C[N+](=C1)C,OCl(=O)(=O)=O",1-butyl-3-methylimidazoliumÂ ,perchlorate,1-butyl-3-methylimidazoliumÂ  perchlorate
CN1C=C[N+](=C1)C,COS(=O)(=O)[O-],"CN1C=C[N+](=C1)C,COS(=O)(=O)[O-]","1,3-dimethylimidazolium ",methylsulfate,"1,3-dimethylimidazolium  methylsulfate"
CCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],"CCN1C=C[N+](=C1)C,COS(=O)(=O)[O-]",1-ethyl-3-methylimidazolium,methylsulfate,1-ethyl-3-methylimidazolium methylsulfate
CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],"CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-]",1-butyl-3-methylimidazoliumÂ ,methylsulfate,1-butyl-3-methylimidazoliumÂ  methylsulfate
CCN1C=C[N+](=C1)C,CS(=O)(=O)O,"CCN1C=C[N+](=C1)C,CS(=O)(=O)O",1-ethyl-3-methylimidazolium,methanesulfonate,1-ethyl-3-methylimidazolium methanesulfonate
CCCCN1C=C[N+](=C1)C,[I-],"CCCCN1C=C[N+](=C1)C,[I-]",1-butyl-3-methylimidazoliumÂ ,iodide,1-butyl-3-methylimidazoliumÂ  iodide
CCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F,"CCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F",1-ethyl-3-methylimidazolium,hexafluorophosphate,1-ethyl-3-methylimidazolium hexafluorophosphate
CCCCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F,"CCCCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F",1-butyl-3-methylimidazoliumÂ ,hexafluorophosphate,1-butyl-3-methylimidazoliumÂ  hexafluorophosphate
CCN1C=C[N+](=C1)C,CCOS(=O)(=O)[O-],"CCN1C=C[N+](=C1)C,CCOS(=O)(=O)[O-]",1-ethyl-3-methylimidazolium,ethyl sulfate,1-ethyl-3-methylimidazolium ethyl sulfate
CN1C=C[N+](=C1)C,COS(=O)(=O)[O-],"CN1C=C[N+](=C1)C,COS(=O)(=O)[O-]","1,3-dimethylimidazolium ",dimethylphosphate,"1,3-dimethylimidazolium  dimethylphosphate"
CCCCN1C=C[N+](=C1)C,C(#N)[N-]C#N,"CCCCN1C=C[N+](=C1)C,C(#N)[N-]C#N",1-butyl-3-methylimidazoliumÂ ,dicyanamide,1-butyl-3-methylimidazoliumÂ  dicyanamide
CCN1C=C[N+](=C1)C,[Cl-],"CCN1C=C[N+](=C1)C,[Cl-]",1-ethyl-3-methylimidazolium,chloride,1-ethyl-3-methylimidazolium chloride
CCCCN1C=C[N+](=C1)C,[Cl-],"CCCCN1C=C[N+](=C1)C,[Cl-]",1-butyl-3-methylimidazoliumÂ ,chloride,1-butyl-3-methylimidazoliumÂ  chloride
CCCCN1C=C[N+](=C1)C,[Br-],"CCCCN1C=C[N+](=C1)C,[Br-]",1-butyl-3-methylimidazoliumÂ ,bromide,1-butyl-3-methylimidazoliumÂ  bromide
CCCN1C=C[N+](=C1C)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CCCN1C=C[N+](=C1C)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F","1,2-dimethyl-3-propylimidazoliumÂ ",bis[(trifluoromethyl)sulfonyl]imide,"1,2-dimethyl-3-propylimidazoliumÂ  bis[(trifluoromethyl)sulfonyl]imide"
CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F",1-ethyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F",1-butyl-3-methylimidazoliumÂ ,bis(trifluoromethylsulfonyl)imide,1-butyl-3-methylimidazoliumÂ  bis(trifluoromethylsulfonyl)imide
CCCCN1C=C[N+](=C1C)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CCCC[NH+]1C=CN(C1C)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F","1-butyl-2,3-dimethyl-1H-imidazolium ",bis(trifluoromethylsulfonyl)amide,"1-butyl-2,3-dimethyl-1H-imidazolium  bis(trifluoromethylsulfonyl)amide"
CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,"CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F",1-butyl-3-methylimidazoliumÂ ,bis(perfluoroethylsulfonyl)imide,1-butyl-3-methylimidazoliumÂ  bis(perfluoroethylsulfonyl)imide
CN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F","1,3-dimethylimidazoliumÂ ",bis((trifluoromethyl)sulfonyl)amide,"1,3-dimethylimidazoliumÂ  bis((trifluoromethyl)sulfonyl)amide"
CN1C=C[N+](=C1)C,CC(=O)[O-],"CN1C=C[N+](=C1)C,CC(=O)[O-]","1,3-dimethylimidazoliumÂ ",acetate,"1,3-dimethylimidazoliumÂ  acetate"
CCN1C=C[N+](=C1)C,CC(=O)[O-],"CCN1C=C[N+](=C1)C,CC(=O)[O-]",1-ethyl-3-methylimidazolium,acetate,1-ethyl-3-methylimidazolium acetate
CCCCN1C=C[N+](=C1)C,CC(=O)[O-],"CCCCN1C=C[N+](=C1)C,CC(=O)[O-]",1-butyl-3-methylimidazoliumÂ ,acetate,1-butyl-3-methylimidazoliumÂ  acetate
CCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)NS(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,"CCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)NS(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F",1-ethyl-3-methylimidazolium,"1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide","1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
CCN1C=C[N+](=C1)C,C(#N)[N-]C#N,"CCN1C=C[N+](=C1)C,C(#N)[N-]C#N",1-ethyl-3-methylimidazolium,Â dicyanamide,1-ethyl-3-methylimidazolium Â dicyanamide
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,"CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F",trihexyl(tetradecyl)phosphonium ,tris(pentafluoroethyl)trifluorophosphate,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
CCCC[N+]1(CCCC1)C,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,"CCCC[N+]1(CCCC1)C,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F",1-butyl-1-methylpyrrolidinium ,tris(pentafluoroethyl)trifluorophosphate,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate
CCCC[N+]1(CCCC1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CCCC[N+]1(CCCC1)CC,(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F",1-butyl-1-methylpyrrolidinium ,bis[(trifluoromethyl)sulfonyl]imide,1-butyl-1-methylpyrrolidinium b is[(trifluoromethyl)sulfonyl]imide
CCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,"CCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F",1-methyl-3-octylimidazolium ,tetrafluoroborate,1-methyl-3-octylimidazolium tetrafluoroborate
CCCCCCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F,"CCCCCCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F",1-hexyl-3-methylimidazolium ,hexafluorophosphate,1-hexyl-3-methylimidazolium hexafluorophosphate
CN1C=C[N+](=C1)C,COS(=O)(=O)[O-],"CN1C=C[N+](=C1)C,COS(=O)(=O)[O-]","1,3-dimethylimidazolium ",methylsulfate,"1,3-dimethylimidazolium methylsulfate"
CCCC[N+]1=CC=CC(=C1)C,C(#N)[N-]C#N,"CCCC[N+]1=CC=CC(=C1)C,C(#N)[N-]C#N",1-butyl-3-methylpyridinium ,dicyanamide,1-butyl-3-methylpyridinium dicyanamide
CCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,"CCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F",1-hexyl-3-methylimidazolium,tetrafluoroborate,1-hexyl-3-methylimidazolium tetrafluoroborate
CCCC[N+]1=CC=C(C=C1)C,[B-](F)(F)(F)F,"CCCC[N+]1=CC=C(C=C1)C,[B-](F)(F)(F)F",1-butyl-4-methylpyridinium ,tetrafluoroborate,1-butyl-4-methylpyridinium tetrafluoroborate
CCCC[N+]1=CC=CC=C1,[B-](F)(F)(F)F,"CCCC[N+]1=CC=CC=C1,[B-](F)(F)(F)F",1-butylpyridinium ,tetrafluoroborate,1-butylpyridinium tetrafluoroborate
CCCC[N+]1(CCCC1)C,C(F)(F)(F)S(=O)(=O)[O-],"CCCC[N+]1(CCCC1)C,C(F)(F)(F)S(=O)(=O)[O-]",1-butyl-1-methylpyrrolidinium ,trifluoromethanesulfonate,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate
CCCCCCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F,"CCCCCCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F",1-octyl-3-methylpyridinium ,tetrafluoroborate,1-octyl-3-methylpyridinium tetrafluoroborate
CCN1C=C[N+](=C1)C,CC1=CC=C(C=C1)S(=O)(=O)[O-],"CCN1C=C[N+](=C1)C,CC1=CC=C(C=C1)S(=O)(=O)[O-]",1-ethyl-3-methylimidazolium ,4-methylbenzenesulfonate,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate
